split_idx,n_splits,n_test,accuracy,f1_macro,mean_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate,target_scenario,feature_set,variant,shuffle_id
25,5,23,0.7391304347826086,0.4444444444444445,0.0062717458525427825,0.7391304347826086,0.9130434782608695,0.9130434782608695,simple3_available,domain_label_score,real,
26,5,24,0.5833333333333334,0.3074074074074074,0.014231902312651838,0.625,0.8333333333333334,0.875,simple3_available,domain_label_score,real,
27,5,23,0.6956521739130435,0.4292929292929293,0.01726991227531246,0.7391304347826086,0.7391304347826086,0.8695652173913043,simple3_available,domain_label_score,real,
28,5,23,0.782608695652174,0.5252525252525252,0.00832098235292094,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
29,5,23,0.7391304347826086,0.4444444444444445,0.03635092451142066,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
30,5,23,0.6521739130434783,0.388235294117647,0.009145273287541859,0.6521739130434783,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
31,5,24,0.7083333333333334,0.4484848484848485,0.021181779688748816,0.7083333333333334,0.8333333333333334,0.9166666666666666,simple3_available,domain_label_score,real,
32,5,23,0.6086956521739131,0.2522522522522523,0.03254377958470885,0.6521739130434783,0.782608695652174,0.8260869565217391,simple3_available,domain_label_score,real,
33,5,23,0.782608695652174,0.5050505050505051,0.00699201428222805,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
34,5,23,0.6086956521739131,0.33095238095238094,0.019177151352750613,0.6086956521739131,0.8260869565217391,0.8695652173913043,simple3_available,domain_label_score,real,
35,5,23,0.6086956521739131,0.2522522522522523,0.011789665327490952,0.6956521739130435,0.782608695652174,0.9565217391304348,simple3_available,domain_label_score,real,
36,5,24,0.75,0.5272435897435898,0.0038725344401606514,0.7916666666666666,0.9583333333333334,0.9583333333333334,simple3_available,domain_label_score,real,
37,5,23,0.6521739130434783,0.3333333333333333,0.044220717188248104,0.6521739130434783,0.7391304347826086,0.8695652173913043,simple3_available,domain_label_score,real,
38,5,23,0.6956521739130435,0.35360360360360366,0.018067457224358062,0.7391304347826086,0.8260869565217391,0.8695652173913043,simple3_available,domain_label_score,real,
39,5,23,0.7391304347826086,0.47450980392156855,0.009870969311609124,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,domain_label_score,real,
40,5,23,0.6521739130434783,0.4166666666666667,0.011551657117546596,0.6956521739130435,0.782608695652174,0.9130434782608695,simple3_available,domain_label_score,real,
41,5,24,0.75,0.4777777777777778,0.028020588708599234,0.75,0.8333333333333334,0.875,simple3_available,domain_label_score,real,
42,5,23,0.782608695652174,0.5050505050505051,0.014297113078646175,0.8260869565217391,0.8695652173913043,0.8695652173913043,simple3_available,domain_label_score,real,
