did,DecisionTree,KNN,LogisticRegression,MLP,Perceptron,SVM,best_classifier,best_accuracy
1132,0.847560975609756,0.9113414634146344,0.9110975609756096,0.5841463414634147,0.891219512195122,0.9210975609756098,SVM,0.9210975609756098
1134,0.9708737864077668,0.9799352750809062,0.9864077669902912,0.9566343042071198,0.9870550161812296,0.9831715210355988,Perceptron,0.9870550161812296
1136,0.9399999999999998,0.9079999999999998,0.932,0.6399999999999999,0.932,0.932,DecisionTree,0.9399999999999998
1137,0.9560133444537116,0.9743619683069225,0.979833194328607,0.9761801501251044,0.9798498748957464,0.9725271059216012,Perceptron,0.9798498748957464
1140,0.9167788461538462,0.9135576923076922,0.9414423076923076,0.8757211538461538,0.944471153846154,0.9074519230769232,Perceptron,0.944471153846154
1144,0.9696969696969696,0.9817715617715616,0.990909090909091,0.821118881118881,0.987878787878788,0.9818181818181818,LogisticRegression,0.990909090909091
1145,0.9428571428571428,0.9301587301587302,0.9619047619047618,0.8666666666666666,0.9587301587301588,0.9492063492063492,LogisticRegression,0.9619047619047618
1147,0.9494732221246708,0.973222124670764,0.9762071992976296,0.9702809482001756,0.9762510974539068,0.9673397717295874,Perceptron,0.9762510974539068
1148,0.9230610844200412,0.9573095401509952,0.9572409059711736,0.9572409059711736,0.96371539693434,0.9530313429421184,Perceptron,0.96371539693434
1149,0.943191591017678,0.949665551839465,0.980315336837076,0.9781414237935976,0.9737697085523174,0.962828475871954,LogisticRegression,0.980315336837076
1150,0.9382978723404256,0.9148936170212766,0.9446808510638296,0.9574468085106383,0.948936170212766,0.9340425531914892,MLP,0.9574468085106383
1157,0.9562980769230768,0.968846153846154,0.9875480769230768,0.984471153846154,0.9812980769230768,0.9626442307692308,LogisticRegression,0.9875480769230768
1158,0.9503305785123968,0.970206611570248,0.9768319559228652,0.9768319559228648,0.9768319559228652,0.9652479338842974,LogisticRegression,0.9768319559228652
1163,0.9377622377622375,0.9457542457542456,0.9715617715617716,0.974125874125874,0.9637695637695636,0.9612054612054612,MLP,0.974125874125874
1165,0.9427964661909616,0.9115188583078492,0.9741930003397894,0.9741590214067278,0.972375127420999,0.9502038735983692,LogisticRegression,0.9741930003397894
1412,0.7830917874396135,0.884927536231884,0.8583574879227054,0.8627053140096617,0.7117874396135265,0.8451207729468599,KNN,0.884927536231884
1457,0.4286666666666666,,0.8013333333333332,,0.724,,LogisticRegression,0.8013333333333332
1459,0.9142679456269462,0.6711680761858784,0.3509494019481347,0.6605996036295958,0.2355618871369278,0.6009980143164622,DecisionTree,0.9142679456269462
1461,0.8741235483748749,0.8936762969560045,0.8911105271740711,0.9000907165188767,0.8571137118893943,0.8977018547110671,MLP,0.9000907165188767
1462,0.9832329130723292,0.997810218978102,0.9810510948905108,1.0,0.9795779694757796,1.0,SVM,1.0
1464,0.7071856823266219,0.7807606263982102,0.7727069351230426,0.7927695749440715,0.7500492170022371,0.7740492170022372,MLP,0.7927695749440715
1476,0.9721782890007188,,0.9904385334291878,,0.9766355140186918,,LogisticRegression,0.9904385334291878
1478,0.9291199422851132,,0.9847561498889554,,0.9469850573140888,,LogisticRegression,0.9847561498889554
1494,0.8180094786729857,0.8616113744075831,0.8701421800947868,0.8739336492890996,0.7819905213270143,0.8075829383886255,MLP,0.8739336492890996
1495,0.996,0.9559999999999998,0.5599999999999999,0.996,0.556,0.996,DecisionTree,0.996
1497,0.9957841883139776,0.8603344715168729,0.6999650822748897,0.9318159231541449,0.586697018227724,0.8812297082691216,DecisionTree,0.9957841883139776
1504,1.0,0.9855749609095488,0.9989703972649936,0.9989703972649936,0.9994845360824742,0.9989690721649483,DecisionTree,1.0
1508,0.883611111111111,0.7841666666666666,0.890925925925926,0.9158024691358024,0.5306481481481481,0.8860493827160493,MLP,0.9158024691358024
1590,0.8133163568187625,,0.8249046986200227,,0.681488328379003,,LogisticRegression,0.8249046986200227
4134,0.7157993786063027,0.7504603639591656,0.7256667554371948,0.7507277407900578,0.7205912117177098,0.7707238348868175,SVM,0.7707238348868175
4538,0.506127659574468,0.5842205378784964,0.4746287561078834,0.5599123286265758,0.370804509253203,0.5347931206956253,KNN,0.5842205378784964
40475,0.5907142857142856,0.6714285714285715,0.7139285714285715,0.7,0.6228571428571429,0.7110714285714287,LogisticRegression,0.7139285714285715
40476,0.5907142857142856,0.6714285714285715,0.7139285714285715,0.7,0.6228571428571429,0.7110714285714287,LogisticRegression,0.7139285714285715
40477,0.5907142857142856,0.6714285714285715,0.7139285714285715,0.7,0.6228571428571429,0.7110714285714287,LogisticRegression,0.7139285714285715
40478,0.5907142857142856,0.6714285714285715,0.7139285714285715,0.7,0.6228571428571429,0.7110714285714287,LogisticRegression,0.7139285714285715
40496,0.702,0.7,0.73,0.712,0.654,0.718,LogisticRegression,0.73
40497,0.997614488731182,0.9472433116096052,0.9628840444780156,0.9814414952483004,0.9488288509845942,0.9448553410508196,DecisionTree,0.997614488731182
40499,0.9203636363636364,0.9823636363636362,0.9945454545454544,0.9943636363636364,0.9523636363636364,0.986909090909091,LogisticRegression,0.9945454545454544
