did,n_rows,n_feat,HistGB,RandomForest,ExtraTrees,SVM_RBF,LogReg,KNN,MLP,GaussianNB,best
43895,1470,33,1.0,1.0,0.9408163265306122,0.9775510204081632,0.9945578231292517,0.8870748299319727,0.9721088435374149,0.995238095238095,HistGB
1461,2000,16,0.8945000000000001,0.8995,0.891,0.8939999999999999,0.8935000000000001,0.8865000000000001,0.8875,0.8629999999999999,RandomForest
46526,2000,23,0.9095000000000001,0.917,0.8895,0.8855000000000001,0.8885,0.8614999999999998,0.8905000000000001,0.7289999999999999,RandomForest
42477,2000,23,0.7825,0.8,0.7975,0.792,0.8035,0.7895000000000001,0.782,0.5549999999999999,LogReg
46372,2000,7,0.787,0.784,0.7515,0.6975,0.5825,0.6239999999999999,0.7164999999999999,0.736,HistGB
46382,719,10,0.7288364413364413,0.7524281274281275,0.529933954933955,0.241996891996892,0.4325174825174825,0.241996891996892,0.2642191142191142,0.3476592851592851,RandomForest
46455,2000,30,0.9984999992496245,0.9984999992496245,0.9984999992496245,0.9984999992496245,0.9989997493745619,0.9984999992496245,0.9984999992496245,0.994996495746121,LogReg
31,1000,20,0.748,0.7529999999999999,0.737,0.716,0.713,0.715,0.724,0.705,RandomForest
44097,1000,20,0.748,0.7529999999999999,0.737,0.716,0.713,0.715,0.724,0.705,RandomForest
44098,1000,20,0.748,0.7529999999999999,0.737,0.716,0.713,0.715,0.724,0.705,RandomForest
46962,2000,94,0.9635,0.9654999999999999,0.9664999999999999,0.9639999999999999,0.9584999999999999,0.9625,0.9605,0.34950000000000003,ExtraTrees
1495,250,6,1.0,1.0,0.9960000000000001,0.9960000000000001,0.5720000000000001,0.9640000000000001,0.9640000000000001,0.96,HistGB
49,303,13,0.7856284153005465,0.8250273224043715,0.8348633879781421,0.768688524590164,0.8548087431693989,0.8183606557377049,0.8384699453551914,0.8281967213114754,LogReg
15,699,9,0.9656526207605344,0.9656628982528263,0.9656628982528263,0.9570811921891058,0.9656628982528263,0.9670709146968139,0.9685405960945529,0.9599383350462487,MLP
13,286,9,0.6885662431941924,0.7235934664246824,0.6783424077434966,0.7306715063520871,0.7237144585601937,0.6644283121597097,0.7343012704174229,0.7167574107683,MLP
45557,961,4,0.7658678756476683,0.7565252590673575,0.7398855785837651,0.7919041450777201,0.790808506044905,0.7721232728842832,0.7866958117443869,0.7846016839378238,SVM_RBF
46846,839,23,0.8295409181636728,0.8510193897918448,0.8307599087539208,0.8486170516110636,0.8688622754491018,0.837874251497006,0.8509766181921871,0.7317792985457656,LogReg
40497,1999,21,0.9959962406015037,0.9919974937343359,0.9744899749373435,0.9574786967418547,0.9554724310776942,0.9439711779448622,0.979484962406015,0.0870451127819549,HistGB
35,366,34,0.9781192151055166,0.9753794890781192,0.983598667160311,0.9671603109959275,0.9671603109959275,0.9698630136986301,0.9699000370233246,0.8689744539059607,ExtraTrees
481,209,8,0.8854819976771197,0.9284552845528455,0.9236933797909407,0.9091753774680603,0.8804878048780488,0.8807200929152149,0.9138211382113821,0.8951219512195122,RandomForest
44149,296,13,0.79045197740113,0.8243502824858757,0.8412994350282486,0.8109039548022599,0.8344067796610168,0.8142372881355933,0.827683615819209,0.8311864406779662,ExtraTrees
53,270,13,0.788888888888889,0.7962962962962964,0.7925925925925925,0.7925925925925926,0.837037037037037,0.8037037037037036,0.8222222222222222,0.8407407407407408,GaussianNB
40475,2000,26,0.6910000000000001,0.7205,0.693,0.7024999999999999,0.7144999999999999,0.6795000000000001,0.7,0.19249999999999998,RandomForest
40476,2000,26,0.6910000000000001,0.7205,0.693,0.7024999999999999,0.7144999999999999,0.6795000000000001,0.7,0.19249999999999998,RandomForest
40477,2000,26,0.6910000000000001,0.7205,0.693,0.7024999999999999,0.7144999999999999,0.6795000000000001,0.7,0.19249999999999998,RandomForest
40478,2000,26,0.6910000000000001,0.7205,0.693,0.7024999999999999,0.7144999999999999,0.6795000000000001,0.7,0.19249999999999998,RandomForest
46879,540,14,0.4481481481481481,0.4462962962962963,0.43888888888888894,0.4333333333333333,0.337037037037037,0.46111111111111114,0.42592592592592593,0.3351851851851852,KNN
1464,748,4,0.7339686800894855,0.7486353467561522,0.7366353467561522,0.7967964205816556,0.7727069351230426,0.7780939597315436,0.7994720357941836,0.7526353467561522,MLP
36,2002,19,0.9820174563591022,0.9745249376558605,0.9755274314214464,0.9600399002493767,0.931574812967581,0.9310760598503741,0.9615436408977557,0.795215710723192,HistGB
182,2000,36,0.897,0.8905,0.9035,0.9059999999999999,0.8484999999999999,0.8795,0.889,0.7905,SVM_RBF
6,2000,16,0.8515,0.858,0.875,0.8735000000000002,0.7365,0.7615000000000001,0.8299999999999998,0.6279999999999999,ExtraTrees
32,2000,16,0.9760000000000002,0.9785,0.984,0.9879999999999999,0.9445,0.9754999999999999,0.982,0.865,SVM_RBF
28,2000,64,0.9625,0.9705,0.9730000000000001,0.9785,0.9584999999999999,0.9695,0.9710000000000001,0.7340000000000001,SVM_RBF
40499,2002,40,0.9790124688279302,0.9655274314214465,0.9735162094763092,0.9930049875311721,0.9885099750623441,0.9650286783042394,0.9895124688279301,0.7707294264339153,SVM_RBF
20,2000,240,0.9724999999999999,0.9770000000000001,0.9785,0.983,0.9595,0.9785,0.9640000000000001,0.9269999999999999,SVM_RBF
1459,1999,7,0.682345864661654,0.6518446115288221,0.6533521303258145,0.5873157894736842,0.3321654135338346,0.5537894736842104,0.5697982456140351,0.2431265664160401,HistGB
40926,1999,3072,0.3736829573934837,0.3681779448621554,0.37217919799498744,0.3736929824561403,0.26963659147869673,0.23112280701754387,0.34116541353383456,0.2601303258145363,SVM_RBF
1462,1372,4,0.9956257465162575,0.9927060384870604,0.9985401459854014,1.0,0.9810510948905108,0.9978102189781021,1.0,0.8396708692767086,SVM_RBF
40496,500,7,0.7,0.7059999999999998,0.702,0.72,0.73,0.7,0.716,0.636,LogReg
44698,2000,100,0.7975,0.8035,0.8029999999999999,0.7985000000000001,0.7569999999999999,0.7529999999999999,0.7845000000000001,0.51,RandomForest
1478,2000,561,0.9724999999999999,0.953,0.9574999999999999,0.9574999999999999,0.951,0.9090000000000001,0.9495000000000001,0.7384999999999999,HistGB
1497,2000,24,0.9970000000000001,0.99,0.959,0.897,0.6815,0.791,0.8865000000000001,0.5325,HistGB
40,208,60,0.8416957026713124,0.8319396051103368,0.870383275261324,0.8799070847851336,0.7836236933797908,0.8219512195121951,0.8562137049941928,0.6882694541231127,SVM_RBF
1504,1941,33,1.0,0.9943365224074417,0.9989703972649935,0.9979394694299419,0.9989703972649935,0.9855749609095487,0.9994845360824742,0.9984536082474227,HistGB
45562,2000,18,0.9244999999999999,0.9305,0.9264999999999999,0.925,0.9305000000000001,0.9335000000000001,0.929,0.7565000000000001,KNN
1476,2001,128,0.978011221945137,0.9750174563591022,0.9780174563591023,0.9815124688279301,0.9845149625935162,0.9490274314214464,0.9730087281795511,0.570713216957606,LogReg
4538,2000,32,0.5685,0.579,0.5820000000000001,0.5235000000000001,0.46699999999999997,0.48,0.515,0.3325,ExtraTrees
46280,2000,19,0.7775000000000001,0.796,0.7875,0.7725,0.8035,0.7550000000000001,0.7630000000000001,0.7585,LogReg
1590,2000,14,0.837,0.8394999999999999,0.8314999999999999,0.8030000000000002,0.8130000000000001,0.807,0.8265,0.7975000000000001,RandomForest
40701,2000,20,0.9494999999999999,0.944,0.9185000000000001,0.9085000000000001,0.8605,0.8870000000000001,0.9135,0.8574999999999999,HistGB
46667,800,11,0.68,0.6912499999999999,0.6849999999999999,0.51625,0.7050000000000001,0.50625,0.68125,0.6425,LogReg
1119,2000,14,0.8275,0.837,0.8265,0.799,0.8195,0.797,0.8295,0.7979999999999999,RandomForest
46938,1723,13,0.8612874957869903,0.8833451297607009,0.8856690259521404,0.8862453656892484,0.8850825749915741,0.8676845298281091,0.8728985507246376,0.8299561846983485,SVM_RBF
46281,2000,85,0.922,0.9280000000000002,0.923,0.9400000000000001,0.9375,0.9355,0.9259999999999999,0.11849999999999998,SVM_RBF
46371,2000,24,0.8470000000000001,0.843,0.845,0.8280000000000001,0.8299999999999998,0.8074999999999999,0.834,0.7645000000000001,HistGB
46911,2000,10,0.8455000000000001,0.8644999999999999,0.867,0.8454999999999998,0.8045000000000002,0.834,0.8574999999999999,0.8240000000000001,ExtraTrees
44232,2000,20,0.9564999999999999,0.9530000000000001,0.922,0.8550000000000001,0.8619999999999999,0.8550000000000001,0.7434999999999999,0.8714999999999999,HistGB
45545,954,6,0.887847891981262,0.8826012675668228,0.8804960044089281,0.8668613943235052,0.8259961421879305,0.8783962524111324,0.8301625792229264,0.7913750344447507,HistGB
373,1999,2,0.4412055137844611,0.4251929824561403,0.4292105263157895,0.2406115288220551,0.29013283208020046,0.37668045112781956,0.17107518796992482,0.3051629072681704,HistGB
1457,1500,10000,0.7293333333333334,0.7406666666666666,0.722,0.6526666666666667,0.8146666666666667,0.04066666666666667,0.6553333333333333,0.508,LogReg
46806,1999,4,0.8459411027568923,0.8619385964912281,0.860937343358396,0.5927969924812031,0.8554398496240602,0.5927969924812031,0.8149072681704259,0.8554398496240602,RandomForest
46937,2000,24,0.6940000000000002,0.6855,0.678,0.63,0.6025,0.5825000000000001,0.616,0.5945,HistGB
46941,1014,6,0.8412134809540067,0.8500804760278984,0.8471394430083403,0.7061113007852511,0.616358581670975,0.671584646149344,0.68142223089304,0.6094961712920061,RandomForest
1137,546,10935,0.9780150125104253,0.9780150125104253,0.9798498748957465,0.9596830692243536,0.9816680567139283,0.9743619683069225,0.9761801501251043,0.9706922435362803,LogReg
1165,542,10935,0.9704723071695549,0.9723241590214068,0.9668195718654434,0.9483520217465171,0.9686544342507645,0.9115188583078492,0.9501529051987767,0.9557254502208631,RandomForest
1150,470,10935,0.9680851063829788,0.9638297872340427,0.9553191489361701,0.9276595744680851,0.9425531914893617,0.9148936170212766,0.9404255319148935,0.951063829787234,HistGB
1148,468,10935,0.9700754975978036,0.9657973003889271,0.963669640814459,0.9401967513154885,0.9657744223289864,0.9573095401509952,0.9529627087622969,0.9593914436055823,HistGB
1149,458,10935,0.9890348781653129,0.9781414237935977,0.9715480172001911,0.9672001911132346,0.9781414237935977,0.949665551839465,0.9825131390348781,0.9672001911132346,HistGB
1127,421,10935,0.9572549019607843,0.966750700280112,0.9643697478991596,0.9596358543417367,0.9595798319327731,0.9430532212885154,0.9572549019607843,0.9667507002801121,GaussianNB
1122,413,10935,0.9927710843373493,0.9927710843373493,0.9927710843373493,0.980664119894211,0.9878930355568617,0.9903320599471055,0.9805759623861299,0.9975903614457831,GaussianNB
1123,405,10935,0.982716049382716,0.9753086419753088,0.9753086419753088,0.9580246913580247,0.9802469135802468,0.9679012345679012,0.9654320987654321,0.9802469135802468,HistGB
1163,386,10935,0.9585747585747585,0.9689643689643688,0.9689643689643688,0.9585747585747587,0.974125874125874,0.9457542457542457,0.9611721611721611,0.9663003663003662,LogReg
1129,384,10935,0.9739576213260424,0.9661312371838688,0.9635338345864662,0.9660628844839371,0.9765208475734791,0.9661312371838688,0.9713260423786739,0.9739576213260424,LogReg
1147,337,10935,0.9791922739244953,0.9732660228270413,0.9762510974539069,0.9614135206321335,0.9732660228270413,0.9732221246707639,0.9733099209833187,0.9702809482001756,HistGB
1144,329,10935,0.9878787878787879,0.9939393939393939,0.9939393939393939,0.9726806526806527,0.9848018648018648,0.9817715617715617,0.987832167832168,0.9939393939393939,RandomForest
46752,2000,7,1.0,1.0,0.9844999999999999,0.962,0.8230000000000001,0.8695,0.977,0.8495000000000001,HistGB
43098,1000,7,0.8549999999999999,0.8619999999999999,0.845,0.8789999999999999,0.8939999999999999,0.748,0.885,0.691,LogReg
45748,1000,7,0.8549999999999999,0.8619999999999999,0.845,0.8789999999999999,0.8939999999999999,0.748,0.885,0.691,LogReg
46745,1998,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HistGB
46502,1000,50,0.7540000000000001,0.772,0.7419999999999999,0.71,0.733,0.6900000000000001,0.713,0.599,RandomForest
43595,614,11,0.7507663601226175,0.7817939490870319,0.7475809676129548,0.7802079168332667,0.8045981607357058,0.7720245235239237,0.7932560309209651,0.7931893909103025,LogReg
46605,383,16,0.9478127136021873,0.9608339029391662,0.9557074504442925,0.9399521531100479,0.9111756664388244,0.9164046479835953,0.9190020505809979,0.8773410799726589,RandomForest
37,768,8,0.7460572107630931,0.7629997453526866,0.7642814701638231,0.7278414396061456,0.7746965452847806,0.7278244631185808,0.749978779390544,0.7551650963415669,LogReg
46601,418,17,0.7080895008605852,0.7223465289730351,0.686431440045898,0.4881239242685025,0.7246701090074584,0.4785140562248996,0.6409925415949512,0.5403040734366036,LogReg
46733,520,16,0.975,0.9807692307692308,0.9807692307692306,0.9673076923076923,0.9288461538461539,0.9134615384615385,0.9653846153846153,0.8865384615384615,RandomForest
46600,1014,6,0.8550602350875482,0.8520948153928695,0.8540798907476954,0.687362824952446,0.6173389260108277,0.6853826269326441,0.6804613958932839,0.6025703555577232,HistGB
46602,200,28,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,HistGB
42178,2000,19,0.7794999999999999,0.7965,0.7819999999999999,0.7344999999999999,0.7955,0.7424999999999999,0.7605,0.7625,RandomForest
44226,2000,18,0.8805,0.8639999999999999,0.8324999999999999,0.8085000000000001,0.819,0.7855000000000001,0.7415,0.8145,HistGB
46652,2000,17,0.4545,0.4720000000000001,0.4655,0.2545,0.4574999999999999,0.17099999999999999,0.3035,0.3215,RandomForest
