did,name,nr_attr,desc,feats
1167,pc1_req,8,**Author**: **Source**: Unknown - Date unknown **Please cite**:,"IMPERATIVE, OPTION, ACTION, CONTINUANCE, CONDITIONAL, SOURCE, WEAK_PHRASE, DEFECT, RISK_LEVEL"
915,plasma_retinol,13,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"SEX, BETAPLASMA, VITUSE, ALCOHOL, RETDIET, CHOLESTEROL, SMOKSTAT, AGE, FAT, FIBER, BETADIET, binaryClass, QUETELET, CALO"
818,diggle_table_a2,8,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_1, col_2, col_3, col_8, col_5, col_4, col_7, binaryClass"
786,cleveland,13,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"chol, thal, ca, cp, fbs, oldpeak, exang, trestbps, sex, age, restecg, slope, thalach, binaryClass"
40710,cleve,13,cleve-pmlb,"Exercise_induced_angina, Fasting_blood_sugar_&lt;_120, Trestbps, Sex, class, Age, Cholesterol, Slope, Number_of_vessels_"
798,cholesterol,13,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"thal, ca, cp, fbs, oldpeak, exang, trestbps, sex, age, restecg, slope, num, thalach, binaryClass"
1446,CostaMadre1,37,"**Author**: Hans Bauer Jesus"",""Deter Bergman **Source**: Unknown - Date unknown **Please cite**: Costa madre 1","a, ab, p, e, r, c, t, d, k, ag, s, af, ah, ai, ad, v, b, aa, o, m, ac, ap, z, def, g, u, aj, i, ae, l, ak, j, am, h, an,"
1121,badges2,10,**Author**: **Source**: Unknown - Date unknown **Please cite**: Dataset from the MLRR repository: http://axon.cs.byu.edu:5000/,"first_char_vowel, vowel_consonant_ratio, words, consonants, even_odd, dots, length, class, spaces, vowels, ID, second_ch"
844,breastTumor,9,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"menopause, inv-nodes, recurrence, node-caps, breast, deg-malig, age, breast-quad, binaryClass, irradiation"
961,analcatdata_broadwaymult,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"Award, Type, NYT_rating, Revival, Week_1_attendance, DN_rating, binaryClass, Show"
