did,Dataset,domain,Classifier,acc_mean,acc_stddev,train_time,test_time,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5
45748,StudentsPerformance,education,KNN,0.769,0.0159373774505092,0.2699687480926513,0.1714949607849121,0.765,0.77,0.77,0.745,0.795
45748,StudentsPerformance,education,LogisticRegression,0.892,0.0235796522451032,0.362600564956665,0.123622179031372,0.875,0.925,0.88,0.915,0.865
45748,StudentsPerformance,education,Perceptron,0.8400000000000001,0.0632455532033676,0.270139217376709,0.1250550746917724,0.87,0.875,0.855,0.885,0.715
45748,StudentsPerformance,education,MLP,0.89,0.0214476105895272,15.127588748931885,0.1507353782653808,0.87,0.915,0.885,0.915,0.865
46745,Advanced_IoT_Dataset,education,DecisionTree,1.0,0.0,2.8684897422790527,0.1883683204650879,1.0,1.0,1.0,1.0,1.0
46745,Advanced_IoT_Dataset,education,LogisticRegression,1.0,0.0,8.553646564483643,0.1794435977935791,1.0,1.0,1.0,1.0,1.0
46745,Advanced_IoT_Dataset,education,Perceptron,1.0,0.0,2.2189998626708984,0.1975808143615722,1.0,1.0,1.0,1.0,1.0
46502,Credit_Approval_Classification,finance,DecisionTree,0.683,0.0128840987267251,0.2468247413635254,0.0720822811126709,0.685,0.685,0.7,0.66,0.685
46502,Credit_Approval_Classification,finance,SVM,0.7310000000000001,0.0124096736459908,0.487553596496582,0.2302725315093994,0.72,0.73,0.715,0.745,0.745
46502,Credit_Approval_Classification,finance,KNN,0.6900000000000001,0.0202484567313165,0.2020680904388427,2.1673736572265625,0.685,0.68,0.66,0.715,0.71
46502,Credit_Approval_Classification,finance,LogisticRegression,0.734,0.0281780056072107,0.340097427368164,0.0724210739135742,0.745,0.695,0.73,0.78,0.72
46502,Credit_Approval_Classification,finance,Perceptron,0.6709999999999999,0.0972316820794539,0.1680819988250732,0.0732626914978027,0.68,0.735,0.76,0.695,0.485
46502,Credit_Approval_Classification,finance,MLP,0.7160000000000001,0.0259615099714943,30.952138662338257,0.0212702751159667,0.695,0.7,0.72,0.7,0.765
43595,Loan-Predication,finance,DecisionTree,0.6970545115287219,0.0298443699793731,0.2429647445678711,0.0948140621185302,0.6829268292682927,0.6829268292682927,0.7560975609756098,0.6747967479674797,0.6885245901639344
43595,Loan-Predication,finance,SVM,0.8045848327335733,0.0209827627045019,0.3896410465240478,0.1830074787139892,0.8130081300813008,0.8211382113821138,0.8048780487804879,0.7642276422764228,0.819672131147541
