target_scenario,feature_set,fold,n_test,accuracy,f1_macro,f1_weighted,mean_regret,median_regret,p90_regret,mean_normalized_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate
simple3_same107,semantic_tags_fixed_vocab_shuffled,2,22,0.7727272727272727,0.5017921146953405,0.7458455522971651,0.024603684455365874,0.0,0.007651383219954655,0.025989359867808717,0.7727272727272727,0.9090909090909091,0.9090909090909091
simple3_same107,semantic_tags_fixed_vocab_shuffled,3,21,0.5714285714285714,0.3106332138590203,0.5028161802355351,0.017845994193808806,0.0,0.03246753246753242,0.030043460383013088,0.6190476190476191,0.7619047619047619,0.9047619047619048
simple3_same107,semantic_tags_fixed_vocab_shuffled,4,21,0.7142857142857143,0.4375,0.6458333333333334,0.0235126822278089,0.0,0.05740000000000001,0.02892308436699742,0.7619047619047619,0.8571428571428571,0.8571428571428571
simple3_same107,semantic_tags_fixed_vocab_shuffled,5,21,0.7142857142857143,0.4375,0.6458333333333334,0.01097975717899952,0.0,0.038461538461538214,0.013709137954421918,0.7142857142857143,0.8571428571428571,0.9047619047619048
simple3_same107,context_full_shuffled,1,22,0.7272727272727273,0.45265151515151514,0.690599173553719,0.008359082578753833,0.0,0.02938457853972804,0.015684512110781017,0.7727272727272727,0.8181818181818182,0.9545454545454546
simple3_same107,context_full_shuffled,2,22,0.8181818181818182,0.5340909090909091,0.7882231404958677,0.020329618541220194,0.0,0.0027443898156277965,0.020424763346329432,0.8181818181818182,0.9545454545454546,0.9545454545454546
simple3_same107,context_full_shuffled,3,21,0.6190476190476191,0.37777777777777777,0.5682539682539682,0.017845994193808806,0.0,0.03246753246753242,0.030043460383013088,0.6190476190476191,0.7619047619047619,0.9047619047619048
simple3_same107,context_full_shuffled,4,21,0.7142857142857143,0.4375,0.6458333333333334,0.012565567007765408,0.0,0.05740000000000001,0.014198608166364304,0.7619047619047619,0.8571428571428571,0.8571428571428571
simple3_same107,context_full_shuffled,5,21,0.7142857142857143,0.4375,0.6458333333333334,0.01097975717899952,0.0,0.038461538461538214,0.013709137954421918,0.7142857142857143,0.8571428571428571,0.9047619047619048
heavy3_same107,stats_only,1,22,0.4090909090909091,0.37896825396825395,0.40016233766233766,0.01086623847370718,0.002779828841503851,0.037570412838795184,0.01496091933089666,0.45454545454545453,0.6818181818181818,1.0
heavy3_same107,stats_only,2,22,0.5454545454545454,0.4913165266106443,0.5380443086325439,0.016192113201302153,0.0,0.05422731030336452,0.018596302760460086,0.5454545454545454,0.6818181818181818,0.8181818181818182
heavy3_same107,stats_only,3,21,0.5238095238095238,0.39571150097465885,0.5087719298245614,0.012183666786792492,0.0,0.03980676328502408,0.013394569360161424,0.5714285714285714,0.7619047619047619,0.9047619047619048
heavy3_same107,stats_only,4,21,0.7142857142857143,0.6352941176470589,0.7025210084033614,0.01501676534135363,0.0,0.049427417182871025,0.02457864186087687,0.7142857142857143,0.8095238095238095,0.9047619047619048
heavy3_same107,stats_only,5,21,0.5714285714285714,0.4222222222222222,0.5111111111111111,0.01722254428594917,0.0,0.08253968253968258,0.02382901078663495,0.5714285714285714,0.7619047619047619,0.8571428571428571
heavy3_same107,domain_label_score,1,22,0.45454545454545453,0.4402116402116402,0.4493506493506494,0.007172788787484288,0.000640862405568321,0.022578465367672402,0.010014376036594443,0.5,0.7727272727272727,1.0
heavy3_same107,domain_label_score,2,22,0.5454545454545454,0.49404761904761907,0.5413961038961038,0.015525012322021615,0.0,0.05275968836894737,0.017826753670568202,0.5454545454545454,0.6818181818181818,0.8636363636363636
