seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
777,baseline_stats,547.0,547.0,0.9872029250457038,0.4186471663619744,0.02596772047428755,0.001914634146341354,0.08010741626794271,0.45740740740740743,0.6277777777777778,0.7936021778941172,0.8195698983684048,ALL
777,real_domain_rank,547.0,547.0,0.9945155393053017,0.4405850091407678,0.023776511628168157,0.0006708092077388761,0.06870512389727303,0.47610294117647056,0.6341911764705882,0.7961556515793204,0.8199321632074886,ALL
808,baseline_stats,547.0,547.0,0.9926873857404022,0.3912248628884826,0.02746794484697998,0.0026864983281448263,0.08813333333333327,0.42173112338858193,0.6077348066298343,0.7938708153461578,0.8213387601931379,ALL
808,real_domain_rank,547.0,547.0,0.9908592321755028,0.40219378427787933,0.026016961811173075,0.0021337073398784434,0.07599999999999996,0.4354243542435424,0.6217712177121771,0.7952289083825805,0.8212458701937536,ALL
911,baseline_stats,547.0,547.0,0.9908592321755028,0.4149908592321755,0.02339024631849387,0.0018264227342206785,0.06447982787614571,0.45387453874538747,0.6309963099630996,0.7980027254257213,0.8213929717442151,ALL
911,real_domain_rank,547.0,547.0,0.9963436928702011,0.42413162705667273,0.023281883936169246,0.0018292682926828174,0.06737420731004275,0.45871559633027525,0.6293577981651376,0.7968691193388286,0.8201510032749978,ALL
1000,baseline_stats,547.0,547.0,0.9872029250457038,0.42778793418647165,0.02356986079652534,0.0013264929901315448,0.06740260479255905,0.4666666666666667,0.6333333333333333,0.7970818998611335,0.820651760657659,ALL
1000,real_domain_rank,547.0,547.0,0.9890310786106032,0.4259597806215722,0.02396131052661803,0.00128928367357517,0.0675,0.4676524953789279,0.6303142329020333,0.7968704797504753,0.8208317902770931,ALL
1234,baseline_stats,547.0,547.0,0.9890310786106032,0.37477148080438755,0.026383181091662274,0.0041999999999999815,0.08650000000000002,0.41035120147874304,0.600739371534196,0.7944877075499935,0.8208708886416559,ALL
1234,real_domain_rank,547.0,547.0,0.9908592321755028,0.38939670932358317,0.025446811697946464,0.003264423076923151,0.06917074510466714,0.4261992619926199,0.6033210332103321,0.7955178301747384,0.8209646418726848,ALL
2024,baseline_stats,547.0,547.0,0.9890310786106032,0.42413162705667273,0.024281272535596424,0.0014564992903521867,0.06450000000000009,0.4584103512014787,0.6377079482439926,0.7972176821445885,0.821498954680185,ALL
2024,real_domain_rank,547.0,547.0,0.9872029250457038,0.4369287020109689,0.02375192390456977,0.0006708092077388761,0.06018851568014508,0.4722222222222222,0.6555555555555556,0.7975018630650711,0.8212537869696409,ALL
2025,baseline_stats,547.0,547.0,0.9890310786106032,0.40950639853747717,0.024782985315149688,0.001975917553393991,0.08217914010421212,0.44731977818853974,0.6266173752310537,0.7960422017596703,0.8208251870748201,ALL
2025,real_domain_rank,547.0,547.0,0.9963436928702011,0.4424131627056673,0.02129303750151493,0.0006472491909383926,0.06557446885980092,0.47706422018348627,0.6568807339449542,0.7988568766547778,0.8201499141562928,ALL
2222,baseline_stats,547.0,547.0,0.9890310786106032,0.36380255941499084,0.02730793300764846,0.003731343283582045,0.08780487804878057,0.4048059149722736,0.6044362292051756,0.7931934017920567,0.8205013347997052,ALL
