config,seed,permutation_id,fold,n_test,accuracy,f1_macro,top3_accuracy,mean_regret,zero_regret_rate,within_1pp_rate,regret_coverage
shuffled_domain_rank,42,16.0,1,115,0.41739130434782606,0.26944868856633564,0.782608695652174,0.021759844725052324,0.4608695652173913,0.7130434782608696,1.0
shuffled_domain_rank,42,16.0,2,108,0.4166666666666667,0.33312361906901844,0.8796296296296297,0.03326116258021949,0.42592592592592593,0.5185185185185185,1.0
shuffled_domain_rank,42,16.0,3,108,0.39814814814814814,0.2631355572532043,0.8055555555555556,0.025171166423077575,0.4444444444444444,0.5925925925925926,1.0
shuffled_domain_rank,42,16.0,4,108,0.37962962962962965,0.28140882145670104,0.8611111111111112,0.026525802086307584,0.42452830188679247,0.5943396226415094,0.9814814814814815
shuffled_domain_rank,42,16.0,5,108,0.25925925925925924,0.1545503680428434,0.8148148148148148,0.028040446414517934,0.29245283018867924,0.5943396226415094,0.9814814814814815
shuffled_domain_rank,42,17.0,1,115,0.4434782608695652,0.2966227983469363,0.7913043478260869,0.02273413118338052,0.46956521739130436,0.7130434782608696,1.0
shuffled_domain_rank,42,17.0,2,108,0.39814814814814814,0.32300187261824087,0.8611111111111112,0.03731604562938996,0.4074074074074074,0.5277777777777778,1.0
shuffled_domain_rank,42,17.0,3,108,0.35185185185185186,0.2362130403868623,0.8148148148148148,0.02927133217699487,0.39814814814814814,0.5462962962962963,1.0
shuffled_domain_rank,42,17.0,4,108,0.4351851851851852,0.32058552490012815,0.8425925925925926,0.025069220019936472,0.4811320754716981,0.6320754716981132,0.9814814814814815
shuffled_domain_rank,42,17.0,5,108,0.37962962962962965,0.2161092221107225,0.7962962962962963,0.022022377122433927,0.4056603773584906,0.660377358490566,0.9814814814814815
shuffled_domain_rank,42,18.0,1,115,0.4,0.26042447493718685,0.7913043478260869,0.023088416074017452,0.43478260869565216,0.7043478260869566,1.0
shuffled_domain_rank,42,18.0,2,108,0.39814814814814814,0.28193443717936545,0.8425925925925926,0.03524844610654737,0.4074074074074074,0.5277777777777778,1.0
shuffled_domain_rank,42,18.0,3,108,0.4166666666666667,0.27331537971072856,0.7962962962962963,0.026180151151757012,0.46296296296296297,0.6111111111111112,1.0
shuffled_domain_rank,42,18.0,4,108,0.4351851851851852,0.3183884362233826,0.8611111111111112,0.02468637517061132,0.45794392523364486,0.6355140186915887,0.9907407407407407
shuffled_domain_rank,42,18.0,5,108,0.32407407407407407,0.17052101189548596,0.7962962962962963,0.025662949351946435,0.36792452830188677,0.6320754716981132,0.9814814814814815
shuffled_domain_rank,42,19.0,1,115,0.40869565217391307,0.2607252770762242,0.782608695652174,0.023701609139918343,0.45217391304347826,0.7043478260869566,1.0
shuffled_domain_rank,42,19.0,2,108,0.4722222222222222,0.3112910864829023,0.8611111111111112,0.024262365887318515,0.48148148148148145,0.5925925925925926,1.0
shuffled_domain_rank,42,19.0,3,108,0.3888888888888889,0.26066492241311806,0.8240740740740741,0.030931478146251395,0.4351851851851852,0.5462962962962963,1.0
shuffled_domain_rank,42,19.0,4,108,0.3425925925925926,0.25940329218106994,0.8518518518518519,0.029684369453839444,0.39622641509433965,0.5660377358490566,0.9814814814814815
shuffled_domain_rank,42,19.0,5,108,0.3055555555555556,0.17447560491038752,0.7777777777777778,0.027469342927446145,0.3364485981308411,0.5794392523364486,0.9907407407407407
shuffled_domain_rank,42,20.0,1,115,0.40869565217391307,0.25404592371805484,0.7391304347826086,0.022910068125533162,0.4434782608695652,0.7217391304347827,1.0
shuffled_domain_rank,42,20.0,2,108,0.37962962962962965,0.3008352356178443,0.8703703703703703,0.03466056797597028,0.3888888888888889,0.5092592592592593,1.0
shuffled_domain_rank,42,20.0,3,108,0.3611111111111111,0.24375924899099174,0.8240740740740741,0.03381315286435476,0.4074074074074074,0.5370370370370371,1.0
shuffled_domain_rank,42,20.0,4,108,0.3888888888888889,0.2864733166562435,0.8796296296296297,0.02493953019542209,0.42990654205607476,0.6074766355140186,0.9907407407407407
shuffled_domain_rank,42,20.0,5,108,0.3333333333333333,0.19300133089941549,0.8425925925925926,0.02523919294695483,0.3619047619047619,0.6,0.9722222222222222
shuffled_domain_rank,42,21.0,1,115,0.41739130434782606,0.27620250120250117,0.7391304347826086,0.023649025638538084,0.45217391304347826,0.6956521739130435,1.0
shuffled_domain_rank,42,21.0,2,108,0.35185185185185186,0.27486772486772487,0.8518518518518519,0.03806407241825468,0.3611111111111111,0.48148148148148145,1.0
shuffled_domain_rank,42,21.0,3,108,0.39814814814814814,0.2713495289714802,0.8425925925925926,0.031058108628598362,0.4351851851851852,0.5462962962962963,1.0
shuffled_domain_rank,42,21.0,4,108,0.37962962962962965,0.28957365502216,0.8703703703703703,0.02782867958283377,0.42452830188679247,0.5943396226415094,0.9814814814814815
shuffled_domain_rank,42,21.0,5,108,0.3055555555555556,0.18056923918992884,0.7962962962962963,0.027990503462988803,0.34285714285714286,0.6,0.9722222222222222
