config,seed,permutation_id,accuracy,f1_macro,top3_accuracy,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,regret_coverage,accuracy_delta_vs_baseline,accuracy_effect_vs_baseline,f1_macro_delta_vs_baseline,f1_macro_effect_vs_baseline,top3_accuracy_delta_vs_baseline,top3_accuracy_effect_vs_baseline,mean_regret_delta_vs_baseline,mean_regret_effect_vs_baseline,zero_regret_rate_delta_vs_baseline,zero_regret_rate_effect_vs_baseline,within_1pp_rate_delta_vs_baseline,within_1pp_rate_effect_vs_baseline
shuffled_domain_rank,42,8.0,0.38391224862888484,0.26823524668983667,0.8263254113345521,0.02824591961619999,0.0029850746268655914,0.08526454960342256,0.42357274401473294,0.6058931860036832,0.9926873857404022,-0.020109689213893944,-0.020109689213893944,-0.013860843674109835,-0.013860843674109835,0.003656307129798808,0.003656307129798808,0.0019200567204447627,-0.0019200567204447627,-0.012656461160867827,-0.012656461160867827,-0.004088329707961802,-0.004088329707961802
shuffled_domain_rank,42,9.0,0.3711151736745887,0.2577217622621831,0.8208409506398537,0.02933760206786009,0.003567906452521641,0.08848238482384833,0.4095940959409594,0.5977859778597786,0.9908592321755028,-0.032906764168190106,-0.032906764168190106,-0.02437432810176343,-0.02437432810176343,-0.001828153564899515,-0.001828153564899515,0.003011739172104861,-0.003011739172104861,-0.026635109234641352,-0.026635109234641352,-0.012195537851866445,-0.012195537851866445
shuffled_domain_rank,42,10.0,0.3875685557586837,0.26629957614702354,0.8318098720292505,0.02601983679654675,0.0029850746268655914,0.07956585094823745,0.4198895027624309,0.6040515653775322,0.9926873857404022,-0.01645338208409508,-0.01645338208409508,-0.015796514216922963,-0.015796514216922963,0.009140767824497242,0.009140767824497242,-0.00030602609920847915,0.00030602609920847915,-0.016339702413169843,-0.016339702413169843,-0.00592995033411281,-0.00592995033411281
shuffled_domain_rank,42,11.0,0.38391224862888484,0.27165528565763253,0.8226691042047533,0.028419443490102878,0.003564384333614834,0.08526454960342256,0.4143646408839779,0.5966850828729282,0.9926873857404022,-0.020109689213893944,-0.020109689213893944,-0.010440804706313978,-0.010440804706313978,0.0,0.0,0.0020935805943476486,-0.0020935805943476486,-0.021864564291622868,-0.021864564291622868,-0.013296432838716843,-0.013296432838716843
shuffled_domain_rank,42,12.0,0.3656307129798903,0.2518868690175047,0.8098720292504571,0.027864756770786724,0.0035714285714284477,0.08587457322551661,0.40331491712707185,0.5966850828729282,0.9926873857404022,-0.038391224862888484,-0.038391224862888484,-0.030209221346441828,-0.030209221346441828,-0.012797074954296161,-0.012797074954296161,0.0015388938750314947,-0.0015388938750314947,-0.03291428804852892,-0.03291428804852892,-0.013296432838716843,-0.013296432838716843
shuffled_domain_rank,42,13.0,0.37477148080438755,0.2629122568539089,0.8208409506398537,0.028839354060411226,0.0033850655059881607,0.0859372866127583,0.4114391143911439,0.6070110701107011,0.9908592321755028,-0.029250457038391242,-0.029250457038391242,-0.019183833510037607,-0.019183833510037607,-0.001828153564899515,-0.001828153564899515,0.002513491164655997,-0.002513491164655997,-0.024790090784456875,-0.024790090784456875,-0.0029704456009439495,-0.0029704456009439495
shuffled_domain_rank,42,14.0,0.37294332723948814,0.2622505308809067,0.8080438756855576,0.027868210425866246,0.0035714285714284477,0.08864486600421553,0.4088397790055249,0.5911602209944752,0.9926873857404022,-0.031078610603290646,-0.031078610603290646,-0.019845559483039787,-0.019845559483039787,-0.014625228519195677,-0.014625228519195677,0.001542347530111017,-0.001542347530111017,-0.027389426170075892,-0.027389426170075892,-0.018821294717169867,-0.018821294717169867
shuffled_domain_rank,42,15.0,0.3820840950639854,0.26220811144291206,0.8226691042047533,0.02806307869582105,0.0033850655059881607,0.08036913875598091,0.4172794117647059,0.5992647058823529,0.9945155393053017,-0.021937842778793404,-0.021937842778793404,-0.019887978921034444,-0.019887978921034444,0.0,0.0,0.0017372158000658194,-0.0017372158000658194,-0.018949793410894866,-0.018949793410894866,-0.010716809829292129,-0.010716809829292129
shuffled_domain_rank,42,16.0,0.37477148080438755,0.26571829318076534,0.8281535648994516,0.026882313106490988,0.0041999999999999815,0.08396502680542417,0.4106813996316759,0.6040515653775322,0.9926873857404022,-0.029250457038391242,-0.029250457038391242,-0.016377797183181164,-0.016377797183181164,0.005484460694698323,0.005484460694698323,0.0005564502107357587,-0.0005564502107357587,-0.025547805543924884,-0.025547805543924884,-0.00592995033411281,-0.00592995033411281
shuffled_domain_rank,42,17.0,0.40219378427787933,0.2853027558155007,0.8208409506398537,0.02725151231357198,0.0027777777777777124,0.08041275917065395,0.43278084714548803,0.6169429097605893,0.9926873857404022,-0.0018281535648994596,-0.0018281535648994596,0.0032066654515541804,0.0032066654515541804,-0.001828153564899515,-0.001828153564899515,0.0009256494178167506,-0.0009256494178167506,-0.0034483580301127303,-0.0034483580301127303,0.006961394048944247,0.006961394048944247
